trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_res.keys,key_res.rt,key_res.started,key_res.stopped,zwrot,fiksa.started,fiksa.stopped,strza.started,strza.stopped,polygon_3.started,polygon_3.stopped,polygon_4.started,polygon_4.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,lewa,89.81410349899943,None,91.81473604499934,None,94.78238293300001,97.78324223799973,91.81473604499934,97.78324223799973,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
10,0,10,0,,,,,,,prawa,97.8182673450001,None,99.8207200249999,None,99.8207200249999,105.80341432200021,102.80288524099979,105.80341432200021,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
11,0,11,0,,,,,,,prawa,105.81984938799997,None,107.82393534399944,None,107.82393534399944,113.78995100799966,110.79003289199954,113.78995100799966,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
12,0,12,0,,,,,,,prawa,113.82672229499985,None,115.83992056199986,None,115.83992056199986,121.80995021199942,118.82409571900007,121.80995021199942,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
13,0,13,0,,,,,,,lewa,121.84460927700002,None,123.86107038999944,None,126.82684247599991,129.82976981299998,123.86107038999944,129.82976981299998,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
14,0,14,0,,,,,,,prawa,129.86573140499968,None,131.8808747160001,None,131.8808747160001,137.84738260199993,134.84675844699996,137.84738260199993,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
15,0,15,0,,,,,,,prawa,137.86399874800009,None,139.86439735099975,None,139.86439735099975,145.83351241699984,142.83253272599995,145.83351241699984,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
16,0,16,0,,,,,,,lewa,145.86818928799948,None,147.87223474499933,None,150.83723573299994,153.83623131199965,147.87223474499933,153.83623131199965,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
17,0,17,0,,,,,,,lewa,153.88683528599995,None,155.88795110499996,None,158.85437040499983,161.87355276200014,155.88795110499996,161.87355276200014,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
18,0,18,0,,,,,,,prawa,161.8917818230002,None,163.9064020629994,None,163.9064020629994,169.87539994899998,166.87529119400006,169.87539994899998,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
19,0,19,0,,,,,,,prawa,169.91022180799973,None,171.91168739299974,None,171.91168739299974,177.8783672519994,174.89388900499944,177.8783672519994,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
20,0,20,0,,,,,,,lewa,177.91327146999993,None,179.91607525699965,None,182.87972686099965,185.88262562,179.91607525699965,185.88262562,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
21,0,21,0,,,,,,,lewa,185.931270649,None,187.9331077480001,None,190.91584007299934,193.9016755900002,187.9331077480001,193.9016755900002,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
22,0,22,0,,,,,,,lewa,193.9362111979999,None,195.95247100300003,None,198.9354136209995,201.91987474300004,195.95247100300003,201.91987474300004,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
23,0,23,0,,,,,,,lewa,201.93896840300022,None,203.95466783499978,None,206.922683236,209.9263218850001,203.95466783499978,209.9263218850001,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
24,0,24,0,,,,,,,prawa,209.93938675299978,None,211.93993065199993,None,211.93993065199993,217.92553766399942,214.928801733,217.92553766399942,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
25,0,25,0,,,,,,,lewa,217.94467739999982,None,219.95918591699956,None,222.93068521399982,225.9279252440001,219.95918591699956,225.9279252440001,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
26,0,26,0,,,,,,,lewa,225.9628717300002,None,227.96410340700004,None,230.94991404199936,233.94766528699984,227.96410340700004,233.94766528699984,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
27,0,27,0,,,,,,,lewa,233.9665889729995,None,235.9835310589997,None,238.9706643139998,241.95026936799968,235.9835310589997,241.95026936799968,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
28,0,28,0,,,,,,,prawa,241.9862465489996,None,243.98470491599983,None,243.98470491599983,249.95598003899977,246.97372718499992,249.95598003899977,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
29,0,29,0,,,,,,,lewa,249.9887350709996,None,251.99215706499945,None,254.97078309399967,257.9722705059994,251.99215706499945,257.9722705059994,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
30,0,30,0,,,,,,,prawa,258.00959818199954,None,260.02381011499983,None,260.02381011499983,266.00836576799975,263.0095527049998,266.00836576799975,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
31,0,31,0,,,,,,,prawa,266.02801141999953,None,268.0427833699996,None,268.0427833699996,274.02917048200015,271.0278014079995,274.02917048200015,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
32,0,32,0,,,,,,,lewa,274.04687149799975,None,276.0456620929999,None,279.0129156209996,282.0156989239995,276.0456620929999,282.0156989239995,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
