1.6340 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['pygame', 'sounddevice', 'PTB', 'pyo'] (in that order).
29.8767 	EXP 	fiksa: autoDraw = False
29.8767 	EXP 	strza: autoDraw = True
29.8767 	EXP 	polygon_4: autoDraw = True
32.8625 	EXP 	polygon_3: autoDraw = True
35.8604 	EXP 	polygon_3: autoDraw = False
35.8604 	EXP 	polygon_4: autoDraw = False
35.8634 	EXP 	New trial (rep=2, index=0): None
35.8810 	EXP 	strza: autoDraw = False
35.8810 	EXP 	polygon_3: autoDraw = False
35.8810 	EXP 	polygon_4: autoDraw = False
35.8810 	EXP 	fiksa: autoDraw = True
37.8784 	EXP 	fiksa: autoDraw = False
37.8784 	EXP 	strza: autoDraw = True
37.8784 	EXP 	polygon_3: autoDraw = True
40.8628 	EXP 	polygon_4: autoDraw = True
43.8475 	EXP 	polygon_3: autoDraw = False
43.8475 	EXP 	polygon_4: autoDraw = False
43.8680 	EXP 	New trial (rep=3, index=0): None
43.8838 	EXP 	strza: autoDraw = False
43.8838 	EXP 	strza: autoDraw = False
43.8838 	EXP 	polygon_3: autoDraw = False
43.8838 	EXP 	polygon_4: autoDraw = False
43.8838 	EXP 	fiksa: autoDraw = True
45.8972 	EXP 	fiksa: autoDraw = False
45.8972 	EXP 	strza: autoDraw = True
45.8972 	EXP 	polygon_3: autoDraw = True
48.8641 	EXP 	polygon_4: autoDraw = True
51.8650 	EXP 	polygon_3: autoDraw = False
51.8650 	EXP 	polygon_4: autoDraw = False
51.8857 	EXP 	New trial (rep=4, index=0): None
51.9006 	EXP 	strza: autoDraw = False
51.9006 	EXP 	polygon_3: autoDraw = False
51.9006 	EXP 	polygon_4: autoDraw = False
51.9006 	EXP 	fiksa: autoDraw = True
53.9166 	EXP 	fiksa: autoDraw = False
53.9166 	EXP 	strza: autoDraw = True
53.9166 	EXP 	polygon_4: autoDraw = True
56.8853 	EXP 	polygon_3: autoDraw = True
59.8849 	EXP 	polygon_3: autoDraw = False
59.8849 	EXP 	polygon_4: autoDraw = False
59.9067 	EXP 	New trial (rep=5, index=0): None
59.9212 	EXP 	strza: autoDraw = False
59.9212 	EXP 	polygon_3: autoDraw = False
59.9212 	EXP 	polygon_4: autoDraw = False
59.9212 	EXP 	fiksa: autoDraw = True
61.9372 	EXP 	fiksa: autoDraw = False
61.9372 	EXP 	strza: autoDraw = True
61.9372 	EXP 	polygon_4: autoDraw = True
64.9040 	EXP 	polygon_3: autoDraw = True
67.9212 	EXP 	polygon_3: autoDraw = False
67.9212 	EXP 	polygon_4: autoDraw = False
67.9234 	EXP 	New trial (rep=6, index=0): None
67.9392 	EXP 	strza: autoDraw = False
67.9392 	EXP 	polygon_3: autoDraw = False
67.9392 	EXP 	polygon_4: autoDraw = False
67.9392 	EXP 	fiksa: autoDraw = True
69.9413 	EXP 	fiksa: autoDraw = False
69.9413 	EXP 	fiksa: autoDraw = False
69.9413 	EXP 	strza: autoDraw = True
69.9413 	EXP 	polygon_4: autoDraw = True
72.9057 	EXP 	polygon_3: autoDraw = True
75.9075 	EXP 	polygon_3: autoDraw = False
75.9075 	EXP 	polygon_4: autoDraw = False
75.9284 	EXP 	New trial (rep=7, index=0): None
75.9449 	EXP 	strza: autoDraw = False
75.9449 	EXP 	polygon_3: autoDraw = False
75.9449 	EXP 	polygon_4: autoDraw = False
75.9449 	EXP 	fiksa: autoDraw = True
77.9614 	EXP 	fiksa: autoDraw = False
77.9614 	EXP 	strza: autoDraw = True
77.9614 	EXP 	polygon_4: autoDraw = True
80.9245 	EXP 	polygon_3: autoDraw = True
83.9257 	EXP 	polygon_3: autoDraw = False
83.9257 	EXP 	polygon_4: autoDraw = False
83.9459 	EXP 	New trial (rep=8, index=0): None
83.9608 	EXP 	strza: autoDraw = False
83.9608 	EXP 	polygon_3: autoDraw = False
83.9608 	EXP 	polygon_4: autoDraw = False
83.9608 	EXP 	fiksa: autoDraw = True
85.9641 	EXP 	fiksa: autoDraw = False
85.9641 	EXP 	fiksa: autoDraw = False
85.9641 	EXP 	strza: autoDraw = True
85.9641 	EXP 	polygon_4: autoDraw = True
88.9277 	EXP 	polygon_3: autoDraw = True
91.9296 	EXP 	polygon_3: autoDraw = False
